mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
200,14688316,14692863,Flange-1213,Geometry Group,,3ca4c225-f5af-5e1a-99df-6f7e408fd874,,,,,,,,,
201,14694853,14699410,Flange-1215,Geometry Group,,621e4f43-f450-5fa8-8d31-687b60c66580,,,,,,,,,
202,14699867,14704424,Flange-1216,Geometry Group,,8a84684a-d053-548f-8992-d3b0bb7e5b33,,,,,,,,,
203,14710864,14715408,Flange-1196,Geometry Group,,b6f9e43c-12b4-5452-953e-54679d9594d6,,,,,,,,,
204,14718122,14722662,Flange-1200,Geometry Group,,8d5b0988-4a40-5ccb-a705-8f327fd45594,,,,,,,,,
205,14726804,14731338,Flange-1197,Geometry Group,,21804c94-479a-5f39-977f-6ef840a6c58f,,,,,,,,,
206,14731795,14736329,Flange-1198,Geometry Group,,26b60875-d60b-5d66-a1a3-18df3c7b7157,,,,,,,,,
207,14736786,14741309,Flange-1301,Geometry Group,,f084d70d-65d4-51a3-b685-d2d20f591162,,,,,,,,,
208,14747302,14751845,Flange-1230,Geometry Group,,67a00a8a-47f3-5885-9c96-bcba889ee503,,,,,,,,,
209,14754197,14758736,Flange-1231,Geometry Group,,2753c931-6dda-54ae-a0e0-de3ac789d554,,,,,,,,,
210,14763260,14767803,Flange-1235,Geometry Group,,a54bd07e-c2d9-50d4-bd62-8eb039e6661e,,,,,,,,,
211,14768260,14772803,Flange-1236,Geometry Group,,7c406965-2108-5035-8d1a-1c3f4b2deb9e,,,,,,,,,
212,14773260,14777792,Flange-1302,Geometry Group,,0c345748-b819-5ff3-b0da-762d445e270f,,,,,,,,,
213,14784123,14788653,Flange-1194,Geometry Group,,65981d60-63ae-5629-acd1-d842b0ec75d5,,,,,,,,,
214,14789110,14793646,Flange-1195,Geometry Group,,95410358-9777-5fe9-bddb-a04d57431417,,,,,,,,,
