mesh_index,fbx_pos,fbx_end,sp3d_name,sp3d_type,sp3d_internal_type,object_id,sp3d_moniker,sp3d_display_name,sp3d_system_path,sp3d_bom_desc,sp3d_support_assembly,sp3d_support_weight,sp3d_status,sp3d_construction_type,sp3d_support_location
648,18748939,18753560,Flange-3458,Geometry Group,SP3D Entity,9aaee4a1-5d15-5b0e-9e31-4a22ca2603a6,@a=0027!!80005##720109690368441091,Flange-3458,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0001-1C0031,,,,Working,New,
649,18754017,18758648,Flange-3459,Geometry Group,SP3D Entity,005e7acd-3c71-56a5-8cf5-fea8aba67f40,@a=0027!!80005##720109690368441095,Flange-3459,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0001-1C0031,,,,Working,New,
650,18762492,18767113,Flange-3453,Geometry Group,SP3D Entity,3021f036-6014-5a0b-8f03-e17f9264ac70,@a=0027!!80005##720109690368440927,Flange-3453,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0003-1C0031,,,,Working,New,
651,18767570,18772191,Flange-3454,Geometry Group,SP3D Entity,f3b9541b-4614-5073-89c2-b2275fcab069,@a=0027!!80005##720109690368440929,Flange-3454,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0003-1C0031,,,,Working,New,
652,18772648,18777270,Flange-3460,Geometry Group,SP3D Entity,3108664a-3e0d-5370-bb68-4868b056b58a,@a=0027!!80005##720109690368440919,Flange-3460,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0003-1C0031,,,,Working,New,
653,18777727,18782349,Flange-3461,Geometry Group,SP3D Entity,14d45dc8-9a4c-58cb-b56a-f4711085b623,@a=0027!!80005##720109690368440921,Flange-3461,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0003-1C0031,,,,Working,New,
654,18782806,18787437,Flange-3462,Geometry Group,SP3D Entity,355d72da-8057-504a-b2f7-da30f76edd0e,@a=0027!!80005##720109690368440933,Flange-3462,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-002\ModuleAssembly-001-10-P-0003-1C0031,,,,Working,New,
655,18792734,18797351,Flange-3463,Geometry Group,SP3D Entity,52a40780-4a6d-5a81-ae08-9657a285396c,@a=0027!!80005##720109690309963380,Flange-3463,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-003\ModuleAssembly-001-2-P-0001-1C0031,,,,Working,New,
656,18797808,18802425,Flange-3464,Geometry Group,SP3D Entity,8f20d5c5-af4d-5897-a222-fb7c1300f57a,@a=0027!!80005##720109690309963388,Flange-3464,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-003\ModuleAssembly-001-2-P-0001-1C0031,,,,Working,New,
657,18802882,18807499,Flange-3465,Geometry Group,SP3D Entity,e2462ffc-752d-5d67-958c-33627dec2d0d,@a=0027!!80005##720109690309963390,Flange-3465,TRAINING\Sulphur Recovery Area\ModuleAssembly-001\Skid-001 Piping\P-003\ModuleAssembly-001-2-P-0001-1C0031,,,,Working,New,
